,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PRICE_Duplicate,BEDS_Duplicate,BATHS_Duplicate,SQUARE FEET_Duplicate,YEAR BUILT_Duplicate,PRICE_ESTIMATE
289,MLS Listing,,Single Family Residential,6015 S Nagle Ave,Chicago,IL,60638,325000,4.0,1.5,CHI - Clearing,2000.0,5039.0,1958.0,2,163.0,,Active,,,http://www.redfin.com/IL/Chicago/6015-S-Nagle-Ave-60638/home/13999095,MRED,11266959,N,Y,41.782705,-87.7823861,325000,4.0,1.5,2000.0,1958.0,331020.35063705174
290,MLS Listing,,Condo/Co-op,100 E 14th St #1409,Chicago,IL,60605,475000,2.0,2.0,1400 Museum Park,1248.0,,2008.0,2,381.0,551.0,Active,November-14-2021 12:00 PM,November-14-2021 03:00 PM,http://www.redfin.com/IL/Chicago/100-E-14th-St-60605/unit-1409/home/16902668,MRED,11266955,N,Y,41.8645195,-87.6238055,475000,2.0,2.0,1248.0,2008.0,472388.7315917304
291,MLS Listing,,Single Family Residential,4750 S Maplewood Ave,Chicago,IL,60632,499900,4.0,3.5,CHI - Brighton Park,2700.0,6250.0,2021.0,2,185.0,,Active,,,http://www.redfin.com/IL/Chicago/4750-S-Maplewood-Ave-60632/home/147722953,MRED,11266950,N,Y,41.806772,-87.688404,499900,4.0,3.5,2700.0,2021.0,1046898.8281150064
292,MLS Listing,,Single Family Residential,5534 S Hoyne Ave,Chicago,IL,60636,135000,3.0,1.0,CHI - West Englewood,1056.0,3750.0,1918.0,2,128.0,,Active,,,http://www.redfin.com/IL/Chicago/5534-S-Hoyne-Ave-60636/home/13939423,MRED,11247548,N,Y,41.792511,-87.6768941,135000,3.0,1.0,1056.0,1918.0,-10559.862612380646
293,MLS Listing,,Single Family Residential,322 W 104th St,Chicago,IL,60628,256900,4.0,2.5,CHI - Roseland,1600.0,3136.0,1939.0,2,161.0,,Active,,,http://www.redfin.com/IL/Chicago/322-W-104th-St-60628/home/13078043,MRED,11266938,N,Y,41.7053751,-87.6316522,256900,4.0,2.5,1600.0,1939.0,393609.2847500015
294,MLS Listing,,Single Family Residential,2649 N Melvina Ave N,Chicago,IL,60639,393500,5.0,3.0,CHI - Belmont Cragin,1768.0,,1925.0,2,223.0,,Active,,,http://www.redfin.com/IL/Chicago/2649-N-Melvina-Ave-60639/home/13436990,MRED,11266937,N,Y,41.9288632,-87.7805031,393500,5.0,3.0,1768.0,1925.0,427624.0837024711
296,MLS Listing,,Single Family Residential,1204 W 90th St,Chicago,IL,60620,162500,3.0,1.0,CHI - Washington Heights,3632.0,,1941.0,2,45.0,,Active,,,http://www.redfin.com/IL/Chicago/1204-W-90th-St-60620/home/13104161,MRED,11266927,N,Y,41.7306082,-87.6534695,162500,3.0,1.0,3632.0,1941.0,833899.2222145218
298,MLS Listing,,Condo/Co-op,1726 N Mohawk St Unit 2S,Chicago,IL,60614,675000,2.0,2.0,CHI - Lincoln Park,1400.0,,1999.0,2,482.0,236.0,Active,November-14-2021 01:00 PM,November-14-2021 03:00 PM,http://www.redfin.com/IL/Chicago/1726-N-Mohawk-St-60614/unit-2S/home/12770697,MRED,11235525,N,Y,41.9137069,-87.6425815,675000,2.0,2.0,1400.0,1999.0,510516.1410662909
300,MLS Listing,,Single Family Residential,6000 S Honore St,Chicago,IL,60636,69900,3.0,1.0,CHI - West Englewood,1000.0,2935.0,1910.0,2,70.0,,Active,,,http://www.redfin.com/IL/Chicago/6000-S-Honore-St-60636/home/13936870,MRED,11266899,N,Y,41.7847346,-87.6706539,69900,3.0,1.0,1000.0,1910.0,-37390.74997571483
301,MLS Listing,,Condo/Co-op,512 N Mcclurg Ct #3405,Chicago,IL,60611,319000,1.0,1.0,CHI - Near North Side,965.0,,2001.0,2,331.0,503.0,Active,,,http://www.redfin.com/IL/Chicago/512-N-McClurg-Ct-60611/unit-3405/home/12695375,MRED,11266894,N,Y,41.8915234,-87.6178142,319000,1.0,1.0,965.0,2001.0,272537.0144288242
